# Time-averaged data for fix relax3
# TimeStep c_Tup c_Tdown c_allke c_allpe
751000 559.799 353.644 256.949 -28198.2
751100 560.951 354.827 257.478 -28198.9
751200 558.715 356.009 256.452 -28198.2
751300 559.431 355.534 256.78 -28198.9
751400 559.938 355.832 257.013 -28199.6
751500 557.933 357.335 256.093 -28199.2
751600 557.438 357.72 255.866 -28199.2
751700 558.051 357.318 256.147 -28199.6
751800 557.807 356.832 256.035 -28199.7
751900 556.781 358.517 255.564 -28200
752000 555.177 359.238 254.828 -28199.5
752100 557.881 358.899 256.069 -28200.5
752200 555.806 355.514 255.117 -28199.1
752300 558.615 358.678 256.406 -28200.2
752400 558.476 359.115 256.342 -28200
752500 556.827 356.157 255.585 -28198.6
752600 560.571 356.087 257.304 -28199.8
752700 559.635 355.287 256.874 -28199.2
752800 559.167 353.625 256.659 -28199.5
752900 556.594 358.984 255.478 -28199.1
753000 558.359 358.582 256.288 -28200.1
753100 557.222 356.691 255.766 -28199.6
753200 556.89 359.025 255.614 -28199.9
753300 556.727 358.255 255.539 -28200
753400 556.652 356.228 255.505 -28200
753500 557.368 359.881 255.833 -28200.4
753600 555.764 358.604 255.097 -28199.7
753700 556.773 357.053 255.56 -28199.7
753800 558.725 356.637 256.456 -28200.4
753900 557.431 358.645 255.863 -28200.2
754000 556.141 358.121 255.27 -28200.1
754100 556.435 359.129 255.405 -28200.4
754200 555.668 358.733 255.053 -28200.4
754300 553.107 358.213 253.878 -28199.8
754400 556.718 359.206 255.535 -28201.7
754500 554.381 360.388 254.462 -28201
754600 554.311 362.56 254.43 -28201.4
754700 553.714 359.599 254.156 -28201
754800 553.948 361.32 254.264 -28200.8
754900 555.4 359.548 254.93 -28201.1
755000 554.752 359.67 254.633 -28200.5
755100 557.388 359.264 255.843 -28201.4
755200 556.306 359.811 255.346 -28201.2
755300 553.561 358.933 254.086 -28200.4
755400 555.453 360.554 254.955 -28201.5
755500 552.696 361.31 253.689 -28200.7
755600 552.225 359.232 253.473 -28200.5
755700 555.662 360.505 255.051 -28201.5
755800 554.937 359.046 254.718 -28200.9
755900 556.361 360.56 255.371 -28201.1
756000 556.511 357.763 255.44 -28200.9
756100 554.642 359.328 254.582 -28200
756200 556.631 359.508 255.495 -28200.9
756300 555.565 360.719 255.006 -28200.9
756400 553.107 359.476 253.878 -28200
756500 557.078 359.833 255.7 -28201.6
756600 556.892 358.624 255.615 -28201.1
756700 554.827 357.68 254.667 -28200.2
756800 554.63 359.083 254.577 -28200.6
756900 555.238 361.245 254.856 -28201.3
757000 553.579 360.41 254.094 -28200.8
757100 555.432 359.577 254.945 -28202
757200 553.723 362.092 254.16 -28201.8
757300 552.129 363.781 253.429 -28201.5
757400 551.739 360.58 253.25 -28201.1
757500 554.781 361.987 254.646 -28202.1
757600 554.549 361.376 254.54 -28201.6
757700 555.275 361.112 254.873 -28202
757800 552.62 360.422 253.654 -28200.8
757900 553.897 362.135 254.24 -28201.4
758000 554.118 360.716 254.342 -28201.4
758100 552.211 361.015 253.466 -28200.4
758200 555.576 359.914 255.011 -28201.4
758300 555.527 358.294 254.989 -28201.1
758400 554.097 359.515 254.332 -28200.3
758500 555.024 359.482 254.757 -28200.9
758600 555.457 361.785 254.956 -28201.5
758700 554.149 360.802 254.356 -28200.9
758800 553.953 359.975 254.266 -28200.7
758900 555.455 359.703 254.955 -28201.1
759000 555.885 358.922 255.153 -28201.2
759100 554.963 361.435 254.73 -28201.1
759200 553.651 360.915 254.127 -28200.8
759300 554.508 359.622 254.521 -28201.5
759400 554.124 363.315 254.344 -28202.2
759500 551.527 362.603 253.152 -28201.7
759600 553.123 363.294 253.885 -28202.8
759700 551.383 364.616 253.086 -28202.1
759800 552.341 362.767 253.526 -28202
759900 551.878 360.813 253.313 -28201.8
760000 552.811 362.834 253.742 -28202
760100 552.978 363.473 253.818 -28202.2
760200 551.346 361.039 253.069 -28201.6
760300 553.689 363.521 254.145 -28202.8
760400 553.373 363.083 254 -28203.1
760500 549.734 365.006 252.33 -28202.1
760600 549.391 366.205 252.172 -28202.3
760700 551.569 364.385 253.172 -28203
760800 552.117 364.08 253.423 -28202.8
760900 551.623 363.663 253.196 -28202.4
761000 551.296 362.834 253.046 -28201.9
761100 554.015 361.505 254.294 -28202.8
761200 551.956 363.57 253.349 -28202
761300 552.375 363.773 253.542 -28202.6
761400 552.164 363.456 253.445 -28202.6
761500 551.678 364.211 253.222 -28202.5
761600 551.229 362.839 253.016 -28202.2
761700 551.336 363.349 253.065 -28202.3
761800 552.771 364.383 253.724 -28203.4
761900 550.118 364.596 252.506 -28202.4
762000 551.639 364.682 253.204 -28203.2
762100 549.772 363.057 252.347 -28202.5
762200 550.431 365.554 252.649 -28202.9
762300 550.86 364.008 252.846 -28202.7
762400 550.366 363.962 252.619 -28202.1
762500 552.196 362.03 253.459 -28202.3
762600 553.734 361.204 254.165 -28202.6
762700 552.637 362.949 253.662 -28202.1
762800 552.855 363.082 253.762 -28202.3
762900 552.426 363.104 253.565 -28202.3
763000 550.854 362.992 252.844 -28201.6
763100 553.644 362.474 254.124 -28202.8
763200 552.395 360.916 253.551 -28202.6
763300 550.519 365.131 252.69 -28202.5
763400 550.982 364.17 252.902 -28203.4
763500 547.418 366.097 251.266 -28202.5
763600 549.663 365.752 252.297 -28203.6
763700 550.81 364.731 252.823 -28203.7
763800 550.262 364.281 252.572 -28203.4
763900 549.56 366.027 252.249 -28203.4
764000 548.74 365.77 251.873 -28203
764100 550.823 365.21 252.829 -28204
764200 548.163 365.48 251.608 -28202.9
764300 550.854 366.079 252.844 -28203.9
764400 549.814 363.109 252.366 -28203.1
764500 549.534 364.38 252.238 -28203
764600 550.354 366.633 252.614 -28203.7
764700 549.406 365.446 252.179 -28203.4
764800 549.618 366.569 252.276 -28203.7
764900 549.578 365.174 252.258 -28203.7
765000 548.093 363.744 251.576 -28203
765100 549.176 366.329 252.073 -28203.7
765200 549.998 365.27 252.451 -28204.1
765300 547.605 368.108 251.352 -28203.4
765400 549.044 365.616 252.013 -28204
765500 549.618 366.331 252.276 -28204.5
765600 547.333 366.456 251.227 -28203.9
765700 547.616 367.21 251.357 -28204.3
765800 547.733 369.175 251.411 -28204.3
765900 548.021 367.135 251.543 -28204.1
766000 548.54 366.294 251.782 -28204.1
766100 549.357 366.502 252.156 -28204.2
766200 549.047 365.85 252.014 -28203.7
766300 549.183 365.567 252.077 -28203.9
766400 549.568 366.332 252.253 -28204.4
766500 547.637 366.739 251.367 -28203.9
766600 546.257 366.442 250.733 -28203.3
